url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
lesbi.ru,Russian,1.0,7,40,16,11,7,36,7,117
gay.ru,Russian,1.0,16,1,23,50,10,109,1,209
gay.ru/society,Russian,1.0,51,6,24,69,17,110,6,277
lesbi.ru/talk,Russian,1.0,37,86,50,37,52,41,37,303
gay.ru/society/legislation/law,Russian,1.0,77,7,25,80,22,111,7,322
lesbi.ru/talk/family,Russian,1.0,42,87,54,40,61,43,40,327
gay.ru/society/legislation,Russian,1.0,78,8,26,81,23,112,8,328
zelenodolsk.ru/article/ga,Russian,1.0,2,2,170,13,2,158,2,347
gay.ru/people/activist/evgeniya-debryanskaya.html,Russian,1.0,118,10,21,76,53,81,10,359
gay.ru/people,Russian,1.0,76,9,34,96,29,135,9,379
lesbi.ru/talk/family/kak-v-minske-zhivet-obychnaya.html,Russian,1.0,50,149,48,32,76,33,32,388
gay.ru/society/legislation/law/europe,Russian,1.0,104,12,27,95,54,113,12,405
shop.gay.ru/lesbi,Russian,1.0,43,5,152,64,12,133,5,409
gay.ru/art,Russian,1.0,81,14,36,116,38,141,14,426
gay.ru/art/cinema/movie,Russian,1.0,138,19,22,94,63,94,19,430
gay.ru/society/religion/christianity/bible/chto-bibliya-deystvitelno.html,Russian,1.0,110,16,30,104,66,116,16,442
bbsgayru.com,Russian,1.0,6,39,171,59,8,159,6,442
gay.ru/society/legislation/law/europe/publichnyy-kaming-aut.html,Russian,1.0,120,15,28,103,65,115,15,446
facebook.com/ed.mishin,English,1.0,3,3,207,26,4,209,3,452
gay.ru/people/activist,Russian,1.0,142,11,20,102,64,114,11,453
gay.ru/people/karin-boye-klubok-protivorechiy.html,Russian,1.0,105,13,35,122,55,142,13,472
gay.ru/art/cinema,Russian,1.0,137,18,31,114,67,128,18,495
gay.ru/society/religion,Russian,1.0,161,21,33,115,78,117,21,525
100.gay.ru,Russian,1.0,41,4,198,88,13,193,4,537
gay.ru/style/sport/sportsman-gay/navratilova,Russian,1.0,165,17,29,120,79,129,17,539
counter.rambler.ru/top100,,,4,38,216,67,5,210,4,540
gay.ru/society/religion/christianity,Russian,1.0,162,22,32,121,80,130,22,547
kvir.ru,Russian,1.0,39,26,166,127,30,160,26,548
xgay.ru,Russian,1.0,92,268,62,5,127,5,5,559
lesbi.ru/person,Russian,1.0,145,171,40,42,136,37,37,571
