url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
akavita.by/ru,Russian,1.0,1,14,1,1,1,1,1,19
all.by,Russian,1.0,2,1,37,16,2,37,1,95
m.vk.com/pressballnews,Russian,1.0,25,2,38,34,3,38,2,140
twitter.com/pressballby,Kyrgyz,1.0,26,3,39,35,4,39,3,146
top.mail.ru/Rating/Sport-Media/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,27,4,40,36,5,40,4,152
stat.akavita.by/stat/stat.pl?id=2299,Belarusian,1.0,28,5,41,37,6,41,5,158
bigmir.net,Russian,1.0,29,6,42,38,7,42,6,164
top100.rambler.ru/navi?page=1&pageCount=30&resourceId=337561&stat=0&theme=440%2F443&view=short,Russian,1.0,30,7,43,39,8,43,7,170
webmoney.ru,Russian,1.0,31,8,44,40,9,44,8,176
facebook.com/pressball,English,1.0,32,9,45,41,10,45,9,182
db.by,Russian,1.0,33,10,46,42,11,46,10,188
rozumsoft.ru,Russian,1.0,34,11,47,43,12,47,11,194
pbliga.com,Russian,1.0,35,12,48,44,13,48,12,200
plus.google.com/112247816664052877615,Russian,1.0,36,13,49,45,14,49,13,206
twitter.com/freespace_by,Latin,1.0,7,42,27,46,68,33,7,223
top100.rambler.ru/navi?page=2&pageCount=30&resourceId=2418936&stat=0&type=19&view=short,Russian,1.0,11,24,59,56,22,56,11,228
top.mail.ru/Rating/Internet-Free/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,12,25,60,57,23,57,12,234
liveinternet.ru,Latin,1.0,14,28,63,60,26,60,14,251
twitter.com/charter_97,Latin,1.0,15,45,79,48,15,50,15,252
m.vk.com/charter_97,Russian,1.0,16,46,80,49,16,51,16,258
ok.ru/charter97,Russian,1.0,17,47,81,50,17,52,17,264
facebook.com/charter97.org,English,1.0,18,48,82,51,18,53,18,270
itunes.apple.com/ru/app/belorusskij-partizan/id551657917?mt=8,Russian,1.0,43,26,61,58,24,58,24,270
youtube.com/user/Charter97video,Kyrgyz,1.0,19,49,83,52,19,54,19,276
plus.google.com/+Charter97Org_news,Russian,1.0,20,50,84,53,20,55,20,282
polese.by/chastnye-obyavleniya/prodam/nedvizhimost,Russian,1.0,63,172,3,4,40,4,3,286
hoster.by,Russian,1.0,61,27,62,59,25,59,25,293
belaruspartisan.org/politic/326092,Russian,1.0,71,180,2,2,38,2,2,295
forum.grodno.net/index.php?action=activate&code=7ca10e012a&u=281244,Russian,1.0,65,174,29,6,42,6,6,322
charter97.org/ru/news/2015/12/2/181119,Russian,1.0,66,175,9,13,49,13,9,325
p-shkola.by/ru/reklama?id=245,Russian,1.0,70,179,7,12,48,12,7,328
pressball.by,Russian,1.0,75,184,28,3,39,3,3,332
twitter.com/freespace_by/status/279694983047569408/photo/1,Latin,1.0,3,215,36,33,21,32,3,340
gismeteo.by,Russian,1.0,24,59,93,68,34,68,24,346
pressball.by/news,Russian,1.0,74,183,30,8,44,8,8,347
freespace.by,Russian,1.0,4,214,8,29,64,28,4,347
slivki.by/kofe,Russian,1.0,77,186,10,14,50,14,10,351
gomel.slanet.by/zhivotnye/koshki/~612,Russian,1.0,62,171,18,24,59,23,18,357
varjag.net/minobrazovaniya-v-profilnye-klassy-uchashhiesya-budut-zachislyatsya-po-konkursu,Russian,1.0,97,206,4,5,41,5,4,358
naviny.by/rubrics/society/2015/12/02/ic_media_video_116_9639,Russian,1.0,95,204,5,7,43,7,5,361
facebook.com/abw.by,English,1.0,9,73,107,69,35,69,9,362
belaruspartisan.org/lenta,Russian,1.0,91,200,6,10,46,10,6,363
newsby.org/novosti/2015/12/01/text6248.htm,Russian,1.0,80,189,11,17,52,16,11,365
zautra.by/art.php?sn_nid=20051,Russian,1.0,72,181,15,21,56,20,15,365
abw.by,Russian,1.0,64,173,19,25,60,24,19,365
pressball.by/news/biathlon/218684,Russian,1.0,82,191,31,9,45,9,9,367
youtube.com/channel/UCRiV78AOBPdPAUR1i_D9z7w,Kyrgyz,1.0,10,74,108,70,36,70,10,368
moyareklama.by/%D0%93%D0%BE%D0%BC%D0%B5%D0%BB%D1%8C,Russian,1.0,68,177,20,26,61,25,20,377
charter97.org/ru/news/2015/12/2/181121,Russian,1.0,85,194,12,18,53,17,12,379
charter97.org/ru/news/p/2,Russian,1.0,83,192,13,19,54,18,13,379
pressball.by/news/biathlon/218674,Russian,1.0,86,195,32,11,47,11,11,382
