url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
akavita.by/ru,Russian,1.0,1,164,1,1,1,2,1,170
hoster.by,Russian,1.0,6,119,36,8,4,10,4,183
tutby.com,Russian,1.0,10,116,35,11,5,20,5,197
tam.by,Russian,1.0,3,114,32,19,3,37,3,208
polese.by,Russian,1.0,101,75,8,12,47,12,8,255
tamby.info/horoscopes/lev-december.htm,Russian,1.0,111,46,3,28,48,31,3,267
top100.rambler.ru,Russian,1.0,4,170,28,36,6,38,4,282
yandex.by/404.html?hl=12&l10n=ru,,,23,1,49,89,51,89,1,302
n-fitness.by,Russian,1.0,106,74,20,40,49,39,20,328
hoster.by/regby,,,16,115,128,44,7,50,7,360
search.tut.by?encoding=1&how=rlv&page=0&query=n-fitness+%D0%B2+%D0%BC%D0%B8%D0%BD%D1%81%D0%BA%D0%B5&status=1,Russian,1.0,163,77,26,5,102,5,5,378
belaruspartisan.org/life/326137,Russian,1.0,172,86,10,9,105,8,8,390
second.by,Russian,1.0,39,117,129,49,8,51,8,393
ac-diagnostic.ru/publ/remont_peugeot/zamena_nizhnej_sharovoj_opory_na_peugeot_407/2-1-0-12,Russian,1.0,169,83,12,13,107,11,11,395
talks.by,Russian,1.0,40,118,130,50,9,52,9,399
search.tut.by?encoding=1&how=rlv&page=0&query=%D1%81%D1%82%D0%BE%D0%BB%D0%B8%D0%BD%D1%81%D0%BA%D0%B8%D0%B9+%D1%80%D0%B0%D0%B9%D0%BE%D0%BD&ru=1&status=1,Russian,1.0,173,87,25,7,104,7,7,403
yaca.yandex.ru/yca/cy/ch/intimby.net,Russian,1.0,11,196,46,54,50,47,11,404
mobile.tut.by/app-catalog.html?utm_campaign=header_tam.by&utm_medium=ref&utm_source=TUT.BY,Russian,1.0,25,185,33,24,116,23,23,406
mobile.tut.by/app-catalog.html?utm_campaign=footer_tam.by&utm_medium=ref&utm_source=TUT.BY,Russian,1.0,27,187,34,25,117,24,24,414
vitbichi.by?p=30439,Russian,1.0,181,95,9,15,108,13,9,421
yandex.by/yandsearch?country_init=RU&lr=157&msid=20937.5332.1449087892.31432&ncrnd=5862&rdrnd=632892&redircnt=1449089684.2&suggest_reqid=433995942141746833179365721149767&text=%D0%B1%D0%BB%D0%B0%D0%B3%D0%BE%D0%BF%D1%80%D0%B8%D1%8F%D1%82%D0%BD%D1%8B%D0%B5+%D0%B4%D0%BD%D0%B8+%D0%B4%D0%BB%D1%8F+%D0%BB%D1%8C%D0%B2%D0%B0+%D0%BD%D0%B0+%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C+2015,Kyrgyz,1.0,188,102,24,4,101,4,4,423
yandex.by/yandsearch?country_init=RU&lr=154&ncrnd=4792&promo=tabbar&rdrnd=143417&redircnt=1449089682.2&text=%D0%BB%D1%8C%D0%B3%D0%BE%D1%82%D0%BD%D1%8B%D0%B5+%D0%BF%D1%83%D1%82%D1%91%D0%B2%D0%BA%D0%B8+%D0%B2+%D1%81%D0%B0%D0%BD%D0%B0%D1%82%D0%BE%D1%80%D0%B8%D0%B9+%D0%B4%D0%BB%D1%8F+%D0%B8%D0%BD%D0%B2%D0%B0%D0%BB%D0%B8%D0%B4%D0%BE%D0%B2+%D0%BE%D1%87%D0%B5%D1%80%D0%B5%D0%B4%D1%8C,Kyrgyz,1.0,191,105,27,2,99,1,1,425
tutby.com/contact/filials,Russian,1.0,26,186,37,30,121,28,26,428
pressball.by/news/hockey/218679,Russian,1.0,166,80,39,20,112,18,18,435
woody.shop.by/detskiy_mir/detskaya_mebel/Molberty,Russian,1.0,177,91,7,23,115,22,7,435
all.by,Russian,1.0,7,169,179,33,2,49,2,439
rambler-co.ru/jobs,Russian,1.0,12,347,41,14,13,16,12,443
belaruspartisan.org/lenta,Russian,1.0,185,99,13,18,111,17,13,443
belaruspartisan.org/politic/326092,Russian,1.0,197,111,11,10,106,9,9,444
slanet.by/Brigada_rubschikov_Priemlemye_ceny_Rabota_na_vyezdah/~9847878/~580/~img2,Russian,1.0,182,96,14,22,114,21,14,449
pressball.by/news,Russian,1.0,183,97,38,17,110,15,15,460
pressball.by/news/biathlon/218674,Russian,1.0,178,92,40,21,113,19,19,463
likbez.by/index.php?categoryID=197&show_all=yes,Russian,1.0,190,104,31,16,109,14,14,464
charter97.org/ru/news/2015/12/2/181107,Russian,1.0,174,88,16,34,124,32,16,468
abw.by,Russian,1.0,162,76,21,42,130,41,21,472
semeistvo.by,Russian,1.0,187,101,15,29,120,27,15,479
intimby.net/cgi-bin/viewad.pl?id=204988,Russian,1.0,170,84,5,46,132,44,5,481
vodi.la,Russian,1.0,175,89,18,38,127,35,18,482
lombardini.by,Russian,1.0,179,93,4,41,129,40,4,486
abw.by/index.php?act=public_search&adv_type=1&do=search&index=1&marka%5B%5D=39&model%5B%5D=568&page=30&set_small_form_1=1&sort=cost&transmission=2&type_engine=1&u_country=+&year1=1960&year2=2015,Russian,1.0,164,78,22,47,133,45,22,489
nn.by?lang=ru,Russian,1.0,176,90,44,31,122,29,29,492
realt.by,Russian,1.0,192,106,6,37,126,34,6,501
nn.by,Belarusian,1.0,180,94,45,32,123,30,30,504
charter97.org/ru/news/p/2,Russian,1.0,184,98,19,39,128,36,19,504
nn.by?c=ar&i=161082,Belarusian,1.0,193,107,42,26,118,25,25,511
bigmir.net,Russian,1.0,29,181,190,51,10,53,10,514
charter97.org/ru/news/2015/12/2/181105,Russian,1.0,198,112,17,35,125,33,17,520
akavita.com,Russian,1.0,24,197,202,52,11,54,11,540
abw.by/index.php?act=showadv&adv_id=8380073&adv_type=1&phh=8&redirected=1,Russian,1.0,194,108,23,48,134,46,23,553
home.1k.by,Russian,1.0,189,103,47,43,131,42,42,555
r0.ru?topline=1&utm_content=r0&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,15,412,29,3,100,3,3,562
yandex.ru/support/search/troubleshooting/questions.xml,Russian,1.0,281,2,50,90,52,90,2,565
autorambler.ru?utm_content=autorambler&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,14,411,30,6,103,6,6,570
yandex.ru/legal/termsofuse,Russian,1.0,282,3,51,91,53,91,3,571
yandex.ru/company,Russian,1.0,283,4,52,92,54,92,4,577
advertising.yandex.by/price.xml,Russian,1.0,284,5,53,93,55,93,5,583
stat.yandex.ru/Russia/Search,Russian,1.0,285,6,54,94,56,94,6,589
mobile.yandex.ru,Kyrgyz,1.0,286,7,55,95,57,95,7,595
yandex.ru/support/search,Russian,1.0,287,8,56,96,58,96,8,601
itunes.apple.com/ru/app/belorusskij-partizan/id551657917?mt=8,Russian,1.0,38,230,235,55,14,56,14,628
na.by,Russian,1.0,199,113,48,88,135,48,48,631
db.by,Russian,1.0,30,246,251,53,12,55,12,647
plus.google.com/+Charter97Org_news,Russian,1.0,17,238,243,63,22,64,17,647
m.vk.com/charter_97,Russian,1.0,18,239,244,64,23,65,18,653
moikrug.ru,Russian,1.0,2,440,43,27,119,26,2,657
ok.ru/charter97,Russian,1.0,19,240,245,65,24,66,19,659
facebook.com/charter97.org,English,1.0,20,241,246,66,25,67,20,665
play.google.com/store/apps/details?id=by.tut.catalog.android&referrer=mat_click_id%3Db95532a0d9f04f62c40ca10dfff362d4-20151202-163052%26utm_campaign%3D%25D0%259A%25D0%25B0%25D1%2582%25D0%25B0%25D0%25BB%25D0%25BE%25D0%25B3%2BTUT.BY%2B%2528Android%2529%2B%2528Default%2529%26utm_content%3DInternal%26utm_medium%3DInternal%26utm_source%3DLanding%2BTUT.BY%26utm_term%3DInternal,Latin,1.0,55,161,172,105,67,105,55,665
hoster.by/service/domains,Russian,1.0,28,171,180,108,70,108,28,665
youtube.com/channel/UCRiV78AOBPdPAUR1i_D9z7w,Kyrgyz,1.0,8,244,249,69,28,70,8,668
twitter.com/charter_97,Latin,1.0,21,242,247,67,26,68,21,671
itunes.apple.com/us/app/katalog-tut.by/id901364263?l=ru&ls=1&mt=8,Russian,1.0,56,162,173,106,68,106,56,671
facebook.com/abw.by,English,1.0,9,245,250,70,29,71,9,674
istpravda.ru,Russian,1.0,80,231,236,56,15,57,15,675
youtube.com/user/Charter97video,Kyrgyz,1.0,22,243,248,68,27,69,22,677
tutby.com/service/advert/main,Russian,1.0,57,163,174,107,69,107,57,677
play.google.com/store/apps/details?id=org.belaruspartisan,Kyrgyz,1.0,81,232,237,57,16,58,16,681
news.tut.by/press/466836.html,Russian,1.0,44,172,181,109,71,109,44,686
m.vk.com/belaruspartisan,Russian,1.0,82,233,238,58,17,59,17,687
42.tut.by/472052,Russian,1.0,45,173,182,110,72,110,45,692
openx.belaruspartizan.org/www/delivery/ck.php?cb=INSERT_RANDOM_NUMBER_HERE&n=a179a3a2,English,0.16946150595865334,83,234,239,59,18,60,18,693
news.tut.by/press/465706.html,Russian,1.0,46,174,183,111,73,111,46,698
facebook.com/belaruspartisan.org,English,1.0,84,235,240,60,19,61,19,699
stolin.brest-region.gov.by,English,0.16946150595865334,125,146,157,104,66,104,66,702
astronim.by,Russian,1.0,47,175,184,112,74,112,47,704
top100.rambler.ru/navi?page=1&pageCount=30&resourceId=2840802&stat=0&theme=440%2F443&view=short,Russian,1.0,85,236,241,61,20,62,20,705
hoster.by/clients/tariffs,Russian,1.0,48,176,185,113,75,113,48,710
twitter.com/belpartisan,Kyrgyz,1.0,86,237,242,62,21,63,21,711
calend.ru/holidays/belorus,Russian,1.0,87,177,186,114,76,114,76,754
webmoney.ru,Russian,1.0,58,260,265,71,30,72,30,756
president.gov.by,Russian,1.0,88,178,187,115,77,115,77,760
top.mail.ru/Rating/Sport-Media/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,59,261,266,72,31,73,31,762
belta.by,Russian,1.0,89,179,188,116,78,116,78,766
top100.rambler.ru/navi?page=1&pageCount=30&resourceId=337561&stat=0&theme=440%2F443&view=short,Russian,1.0,60,262,267,73,32,74,32,768
rozumsoft.ru,Russian,1.0,61,263,268,74,33,75,33,774
rebenok.by,Russian,1.0,273,120,131,97,59,97,59,777
pbliga.com,Russian,1.0,62,264,269,75,34,76,34,780
tut.by,Russian,1.0,68,198,203,117,79,117,68,782
tam.by/avto/avtozapchasti,Russian,1.0,274,121,132,98,60,98,60,783
plus.google.com/112247816664052877615,Russian,1.0,63,265,270,76,35,77,35,786
tam.by/obrazovanie/kursy/inyaz,Russian,1.0,275,122,133,99,61,99,61,789
facebook.com/pressball,English,1.0,64,266,271,77,36,78,36,792
tutby.com/service/advert/order-context,Russian,1.0,276,123,134,100,62,100,62,795
m.vk.com/pressballnews,Russian,1.0,65,267,272,78,37,79,37,798
tam.by/nedvizhimost/agentstva,Russian,1.0,277,124,135,101,63,101,63,801
twitter.com/pressballby,Kyrgyz,1.0,66,268,273,79,38,80,38,804
xml.yandex.ru,Russian,1.0,278,125,136,102,64,102,64,807
stat.akavita.by/stat/stat.pl?id=2299,Belarusian,1.0,67,269,274,80,39,81,39,810
