url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
scholarsatrisk.nyu.edu,English,1.0,32,1,2,21,1,27,1,84
facebook.com,English,1.0,78,2,71,35,2,66,2,254
scholarsatrisk.nyu.edu/Education-Advocacy/MONITOR.php,English,1.0,91,3,81,37,3,81,3,296
scholarsatrisk.nyu.edu/People/Board.php,English,1.0,92,4,82,38,4,82,4,302
scholarsatrisk.nyu.edu/Arabic.php,English,1.0,93,5,83,39,5,83,5,308
scholarsatrisk.nyu.edu/Contact/index.php,English,1.0,94,6,84,40,6,84,6,314
scholarsatrisk.nyu.edu/At-Risk-Scholars/Resources/Career-Resources.php,English,1.0,95,7,85,41,7,85,7,320
scholarsatrisk.nyu.edu/Russian.php,English,1.0,96,8,86,42,8,86,8,326
scholarsatrisk.nyu.edu/At-Risk-Scholars/Resources/Fellowships-Study.php,English,1.0,97,9,87,43,9,87,9,332
scholarsatrisk.nyu.edu/The-Network/Join-the-Network.php,English,1.0,98,10,88,44,10,88,10,338
scholarsatrisk.nyu.edu/Workshop/curriculum.php,English,1.0,99,11,89,45,11,89,11,344
scholarsatrisk.nyu.edu/About-Us/Friends-of-Scholars-at-Risk.php,English,1.0,100,12,90,46,12,90,12,350
twitter.com,English,1.0,101,13,91,47,13,91,13,356
scholarsatrisk.nyu.edu/About-Us/Mission.php,English,1.0,102,14,92,48,14,92,14,362
scholarsatrisk.nyu.edu/Contact,English,1.0,103,15,93,49,15,93,15,368
scholarsatrisk.nyu.edu/At-Risk-Scholars/Scholars-Seeking-Assistance.php,English,1.0,104,16,94,50,16,94,16,374
scholarsatrisk.nyu.edu/At-Risk-Scholars/Resources/Handbooks.php,English,1.0,105,17,95,51,17,95,17,380
scholarsatrisk.nyu.edu/Supporters/index.php,English,1.0,106,18,96,52,18,96,18,386
scholarsatrisk.nyu.edu/Site-Map/index.php,English,1.0,107,19,97,53,19,97,19,392
scholarsatrisk.nyu.edu/About-Us/FAQs.php,English,1.0,108,20,98,54,20,98,20,398
scholarsatrisk.nyu.edu/Education-Advocacy/Academic-Freedom-Survey.php,English,1.0,109,21,99,55,21,99,21,404
scholarsatrisk.nyu.edu/People/Staff.php,English,1.0,110,22,100,56,22,100,22,410
scholarsatrisk.nyu.edu/Events-News/Search.php,English,1.0,111,23,101,57,23,101,23,416
scholarsatrisk.nyu.edu/About-Us/History.php,English,1.0,112,24,102,58,24,102,24,422
scholarsatrisk.nyu.edu/share.php,Kinyarwanda,1.0,113,25,103,59,25,103,25,428
scholarsatrisk.nyu.edu/At-Risk-Scholars/Host-a-Scholar.php,English,1.0,114,26,104,60,26,104,26,434
scholarsatrisk.nyu.edu/Events-News/courage_to_think.php,English,1.0,115,27,105,61,27,105,27,440
scholarsatrisk.nyu.edu/At-Risk-Scholars/Apply-for-Assistance.php,English,1.0,116,28,106,62,28,106,28,446
scholarsatrisk.nyu.edu/The-Network/Member-Directory.php,English,1.0,117,29,107,63,29,107,29,452
scholarsatrisk.nyu.edu/French.php,French,1.0,118,30,108,64,30,108,30,458
scholarsatrisk.nyu.edu/Education-Advocacy/Research-Advocacy.php,English,1.0,119,31,109,65,31,109,31,464
scholarsatrisk.nyu.edu/The-Network/Partner-Networks.php,English,1.0,120,32,110,66,32,110,32,470
scholarsatrisk.nyu.edu/At-Risk-Scholars/Speaker-Series.php,English,1.0,121,33,111,67,33,111,33,476
scholarsatrisk.nyu.edu/Education-Advocacy/Alerts-Scholars-in-Prison.php,English,1.0,122,34,112,68,34,112,34,482
scholarsatrisk.nyu.edu/Education-Advocacy/Conferences.php,English,1.0,123,35,113,69,35,113,35,488
scholarsatrisk.nyu.edu/Spanish.php,Spanish,1.0,124,36,114,70,36,114,36,494
scholarsatrisk.nyu.edu/Events-News/Events.php,English,1.0,125,37,115,71,37,115,37,500
scholarsatrisk.nyu.edu/Jobs-Volunteer/index.php,English,1.0,126,38,116,72,38,116,38,506
scholarsatrisk.nyu.edu/Education-Advocacy/Scholars-in-Prison.php,English,1.0,127,39,117,73,39,117,39,512
americancouncils.org,English,1.0,13,396,33,36,43,39,13,560
twitter.com/AC_Global,English,1.0,17,446,35,23,72,22,17,615
auf.org,French,1.0,3,397,48,79,75,50,3,652
salsa4.salsalabs.com/o/50943/p/salsa/donation/common/public?donate_page_KEY=10321,English,1.0,177,408,9,5,80,5,5,684
ucoz.ru,Russian,1.0,2,612,16,11,40,15,2,696
twitter.com/ScholarsAtRisk,English,1.0,194,374,8,24,73,24,8,697
eventbrite.com/e/academic-freedom-free-expression-chinas-quest-for-world-class-universities-tickets-19016541989,English,1.0,128,407,15,34,85,33,15,702
rns.se,Swedish,1.0,10,552,34,33,41,38,10,708
donatenow.networkforgood.org/americancouncils/donate,English,1.0,42,536,27,22,83,21,21,731
eacea.ec.europa.eu/llp/index_en.php,English,1.0,14,399,66,128,89,67,14,763
youtube.com/user/AmericanCouncils,English,1.0,66,480,37,84,87,51,37,805
salsa4.salsalabs.com/o/50943/p/salsa/web/common/public/content?content_item_KEY=12864&killorg=True,English,1.0,258,437,4,2,126,2,2,829
salsa4.salsalabs.com/o/50943/p/salsa/web/common/public/content?content_item_KEY=13141,English,1.0,263,442,1,1,125,1,1,833
ehu.lt/en,English,1.0,80,547,3,31,146,31,3,838
salsa4.salsalabs.com/o/50943/p/salsa/web/tellafriend/public?tell_a_friend_KEY=8167,English,1.0,261,440,5,3,127,3,3,839
salsa4.salsalabs.com/o/50943/content_item/spotlightnaila,English,1.0,260,439,7,4,128,4,4,842
