url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
amazon.de,German,1.0,28,15,14,13,1,16,1,87
amazon.co.uk,English,1.0,31,29,4,11,2,13,2,90
amazon.in,English,1.0,32,28,5,14,3,17,3,99
amazon.fr,French,1.0,33,26,15,16,4,19,4,113
amazon.ca,English,1.0,34,27,12,17,5,20,5,115
amazon.it,Italian,1.0,35,23,16,18,6,22,6,120
amazon.es,Spanish,1.0,36,24,18,19,7,24,7,128
amazon.co.jp,Japanese,1.0,38,25,17,20,8,28,8,136
amazon.com.au,English,1.0,39,22,19,21,9,33,9,143
look.com,English,1.0,98,3,26,2,14,2,2,145
amazon.cn,Chinese,1.0,40,21,20,24,10,35,10,150
yoyo.com,English,1.0,99,2,29,4,15,6,2,155
amazon.com.br,Portuguese,1.0,42,19,21,26,11,41,11,160
diapers.com,English,1.0,100,1,32,5,16,9,1,163
amazon.com.mx,Spanish,1.0,43,20,22,27,12,42,12,166
amazon.nl,Dutch,1.0,46,18,23,28,13,49,13,177
vinemarket.com,English,1.0,157,9,27,3,18,3,3,217
soap.com,English,1.0,161,7,28,6,19,5,5,226
casa.com,English,1.0,163,5,30,7,20,7,5,232
wag.com,English,1.0,162,6,31,8,21,8,6,236
afterschool.com,English,1.0,164,8,33,9,22,10,8,246
beautybar.com,English,1.0,165,4,34,22,23,23,4,271
bookdepository.com,English,1.0,92,39,117,57,24,92,24,421
amazon.com,English,1.0,41,38,175,60,17,173,17,504
myhabit.com,English,1.0,114,46,126,78,34,112,34,510
dpreview.com,English,1.0,256,69,72,42,55,47,42,541
bizrate.com/boutique/2011circleofexcellence.html,English,1.0,168,10,160,79,25,174,10,616
quidsi.com/careers,English,1.0,169,11,161,80,26,175,11,622
quidsi.com/brands,English,1.0,170,12,162,81,27,176,12,628
member.impactradius.com/campaign-campaign-info/Diaperscom.brand,English,1.0,171,13,163,82,28,177,13,634
twitter.com/RedEngineJeans,English,1.0,19,518,6,29,35,29,6,636
quidsi.com/press-room,English,1.0,172,14,164,83,29,178,14,640
wag.com/login.qs?returnurl=%2Forder%2FpetMedicineInfo.qs%3Fsubcatalog%3Dwagrx,English,1.0,188,17,166,90,32,181,17,674
diapers.com/login.qs?ici=manageyourregistry&icn=DI-header-account&ref=unm_di_unav_acc_br&returnurl=%2Fbaby-registry%2Fyourregistry.qs%3Fici%3Dmanageyourregistry%26icn%3DDI-header-account%26ref%3Dunm_di_unav_acc_br,English,1.0,194,16,165,89,31,180,16,675
abebooks.com,English,1.0,349,75,79,51,76,54,51,684
redenginejeans.com,English,1.0,16,541,3,39,36,53,3,688
zappos.com,English,1.0,262,79,106,87,81,79,79,694
junglee.com,English,1.0,255,68,121,96,56,103,56,699
goodreads.com,English,1.0,102,60,195,114,46,191,46,708
flickr.tumblr.com,English,1.0,187,410,38,31,75,25,25,766
