url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
rbth.com,English,1.0,12,4,31,44,23,59,4,173
sputniknews.com,English,1.0,66,5,55,78,55,73,5,332
thetimes.co.uk/tto/news,English,1.0,85,314,5,5,76,6,5,491
pravdareport.com,Latin,1.0,51,313,19,37,53,41,19,514
themoscowtimes.com,English,1.0,73,303,11,54,26,63,11,530
russiafocus.co.kr,Korean,1.0,124,300,35,17,48,17,17,541
ruskarec.ru,Serbian,1.0,123,302,36,18,49,18,18,546
tsrus.cn,Chinese,1.0,126,298,37,19,50,19,19,549
gazetarussa.com.br,Portuguese,1.0,125,299,38,20,51,20,20,553
pravda.ru,Russian,1.0,35,436,33,30,8,44,8,586
twitter.com/SputnikInt,English,1.0,34,417,50,10,77,10,10,598
rg.ru,Russian,1.0,104,284,90,42,32,50,32,602
top100.rambler.ru/navi?page=1&pageCount=30&resourceId=338830&stat=0&theme=440%2F442&view=short,Russian,1.0,18,606,13,3,7,4,3,651
pravdareport.com/world/asia/06-11-2015/132520-turkey_russia_relations-0,English,1.0,43,682,20,21,9,30,9,805
pravdareport.com/world/europe/05-11-2015/132510-europe_refugee_crisis-0,English,1.0,44,683,21,22,10,31,10,811
pravdareport.com/video/06-11-2015/132525-russians_abroad-0,Latin,1.0,37,676,24,25,13,36,13,811
pravdareport.com/opinion/columnists/07-11-2015/132529-serbia-0,English,1.0,39,678,25,26,14,37,14,819
pravdareport.com/society/stories/06-11-2015/132527-charlie_hebdo_russia_plane_crash-0,English,1.0,47,686,22,23,11,32,11,821
pravdareport.com/society/stories/05-11-2015/132508-russian_dream-0,English,1.0,48,687,23,24,12,33,12,827
pravdareport.com/video/06-11-2015/132524-obama_plane_egypt-0,English,1.0,42,681,26,27,15,38,15,829
pravdareport.com/opinion/columnists/06-11-2015/132514-sharm_el_sheikh-0,English,1.0,46,685,27,28,16,39,16,841
pravdareport.com/opinion/columnists/08-11-2015/132530-november_revolution-0,English,1.0,49,688,28,29,17,40,17,851
twitter.com/MoscowTimes,English,1.0,121,437,93,64,112,55,55,882
twitter.com/russiabeyond,English,1.0,232,420,39,15,183,14,14,903
mytimesplus.co.uk,English,1.0,72,709,16,33,52,34,16,916
engforum.pravda.ru,English,1.0,38,677,53,61,20,99,20,948
youtube.com/user/PravdaTV,English,1.0,45,684,52,60,19,98,19,958
newsprivacy.co.uk/single,English,1.0,10,699,110,57,27,64,10,967
cnn.com,English,1.0,479,315,6,48,110,45,6,1003
port.pravda.ru,Portuguese,1.0,41,680,126,58,18,82,18,1005
timesbooks.tbpcontrol.co.uk/tbp.direct/customeraccesscontrol/home.aspx?bc=0&d=timesbooks&r=10000414&s=C&ui=0,English,1.0,111,693,44,66,24,83,24,1021
times.newsprints.co.uk,English,1.0,122,705,10,75,29,101,10,1042
youtube.com/user/MoscowTimesVideo,English,1.0,212,568,45,70,113,60,45,1068
italia.pravda.ru,Italian,1.0,40,679,153,74,21,135,21,1102
facebook.com/MoscowTimes,English,1.0,109,424,167,166,82,163,82,1111
onlinenewspapers.com/russia.htm,English,1.0,576,323,3,16,184,15,3,1117
handpickedcollection.com,English,1.0,120,698,127,72,28,84,28,1129
sundaytimeswineclub.co.uk,English,1.0,112,694,136,73,25,100,25,1140
aif.ru,Russian,1.0,491,433,59,32,109,22,22,1146
twitter.com/passiyacom,Latin,1.0,4,1123,56,7,1,16,1,1207
top100.rambler.ru/navi?page=2&pageCount=30&resourceId=3038193&stat=0&theme=440%2F442&view=short,Russian,1.0,277,742,29,8,178,7,7,1241
encountersdating.co.uk/s,English,1.0,269,695,43,81,80,74,43,1242
rt.com/news,English,1.0,573,320,42,59,198,52,42,1244
top.mail.ru/Rating/MassMedia-News/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,276,741,32,14,182,13,13,1258
soundcloud.com/radiosputnik,English,1.0,68,674,145,139,123,125,68,1274
youtube.com/user/RussiaToday,English,1.0,70,899,105,80,79,68,68,1301
wordpress.org,English,1.0,50,312,481,182,69,213,50,1307
driving.co.uk,English,1.0,365,696,40,77,78,67,40,1323
twitter.com/thetimes,English,1.0,468,704,48,9,108,8,8,1345
google.com/gen_204?reason=EmptyAdURL,English,0.16946150595865334,8,438,591,98,30,183,8,1348
plus.google.com/+moscowtimes/posts,English,1.0,279,744,41,49,194,42,41,1349
liveinternet.ru/stat/groups/fund,Kyrgyz,1.0,7,471,624,65,5,180,5,1352
pinterest.com/rbth,English,1.0,233,421,54,234,270,168,54,1380
de.rbth.com,German,1.0,242,285,459,169,56,200,56,1411
mk.rbth.com,Macedonian,1.0,243,286,460,170,57,201,57,1417
facebook.com/SputnikNews,English,1.0,69,675,170,207,133,165,69,1419
newscommercial.co.uk,English,1.0,366,697,106,86,81,85,81,1421
arab.rbth.com,Arabic,1.0,244,287,461,171,58,202,58,1423
telegraph.co.uk/news/worldnews/europe/russia,English,1.0,577,324,4,151,244,127,4,1427
it.rbth.com,Italian,1.0,245,288,462,172,59,203,59,1429
hindi.rbth.com,Hindi,1.0,246,289,463,173,60,204,60,1435
fr.rbth.com,French,1.0,247,290,464,174,61,205,61,1441
in.rbth.com,English,1.0,248,291,465,175,62,206,62,1447
youtube.com/channel/UCI4lx9retCL7_cBmmceEQ8g,English,1.0,179,690,57,152,245,128,57,1451
bg.rbth.com,Bulgarian,1.0,249,292,466,176,63,207,63,1453
gr.rbth.com,Greek (modern),1.0,250,293,467,177,64,208,64,1459
hr.rbth.com,Croatian,1.0,251,294,468,178,65,209,65,1465
es.rbth.com,Spanish,1.0,252,295,469,179,66,210,66,1471
itunes.apple.com/us/app/the-moscow-times/id376796819?ign-mpt=uo%3D4&mt=8,English,1.0,278,743,47,100,218,87,47,1473
indonesia.rbth.com,Indonesian,1.0,253,296,470,180,67,211,67,1477
vesti.ru,Russian,1.0,748,545,7,2,175,2,2,1479
jp.rbth.com,Japanese,1.0,254,297,471,181,68,212,68,1483
facebook.com/russiabeyond?_rdr=p,English,1.0,231,419,165,237,273,171,165,1496
polldaddy.com/poll/9151622,English,1.0,234,422,166,238,274,172,166,1506
pinterest.com/sputnik_news,English,1.0,178,689,58,189,252,144,58,1510
plus.google.com/+Passiya/posts,Russian,1.0,5,1124,174,43,2,162,2,1510
vse.karelia.ru,Russian,1.0,745,542,46,6,177,5,5,1521
ruptly.tv,English,1.0,55,997,138,118,122,109,55,1539
timestutorials.co.uk?utm_campaign=footer&utm_content=click_through_link&utm_medium=website&utm_source=the_times,English,1.0,467,703,107,91,114,86,86,1568
microsoft.com/en-us/store/apps/rt-news-english/9wzdncrdn5ns,English,1.0,333,988,51,13,181,12,12,1578
yabloko.ru,Russian,1.0,767,564,49,12,180,11,11,1583
rbth.com/about_us/careers,English,1.0,332,301,472,210,84,220,84,1619
azeri.ru,Russian,1.0,754,551,61,40,191,28,28,1625
asia.rbth.com,,,331,304,473,211,85,221,85,1625
twitter.com/OLNewspapers,English,1.0,766,563,60,34,186,23,23,1632
facebook.com/RTnews,English,1.0,154,897,173,167,83,164,83,1638
turner.com,English,1.0,153,1282,91,51,54,51,51,1682
ma.tt,English,1.0,36,1364,86,50,111,46,36,1693
soundcloud.com/rttv,English,1.0,177,989,146,140,124,126,124,1702
plus.google.com/+onlinenewspapers,English,1.0,764,561,87,56,197,49,49,1714
business-for-sale.business,English,1.0,575,322,141,236,272,170,141,1716
passiya.com/dalida33/diary/moya-zarplata-pozvolyaet-mne-puteshestvovat-tolko-v-internete,Russian,1.0,23,1314,66,101,115,102,23,1721
passiya.com/dalida33/diary/v-proshlom,Russian,1.0,24,1315,67,102,116,103,24,1727
youtube.com?tab=X1,English,1.0,2,569,694,183,70,214,2,1732
passiya.com/lidiya4905/diary/zima-progulyala,Russian,1.0,26,1317,68,103,117,104,26,1735
ari.ru,Russian,1.0,750,547,102,76,204,61,61,1740
passiya.com/29canek/diary/img-61835345-img-paragraph,Russian,1.0,27,1318,69,104,118,105,27,1741
passiya.com/lidiya4905/diary/lubov-k-drugim-prihodit-i-uhodit-lubov-k-sebe-uselas-i-sidit,Russian,1.0,28,1319,70,105,119,106,28,1747
passiya.com/georgiyjorj/diary/nakonec-to-naydeni-tochnie-geograficheskie-koordinati-mesta-kuda-russkie-chashe-vsego-vseh-posilaut-14-gradusov-24-minuti-severnoy-shiroti-71,Russian,1.0,29,1320,71,106,120,107,29,1753
thetimes.co.uk,,,9,692,799,69,6,181,6,1756
wek.ru,Russian,1.0,742,539,111,87,209,70,70,1758
avi.spb.ru,Russian,1.0,751,548,108,82,206,65,65,1760
passiya.com/svetlana67671/diary/img-61835370-img,Russian,1.0,33,1323,72,107,121,108,33,1764
mn.ru,Russian,1.0,759,556,109,83,207,66,66,1780
en.wikipedia.org/wiki/Russia,English,1.0,136,1479,2,1,174,1,1,1793
thesundaytimes.co.uk/sto/public/magazine/article1625953.ece,English,1.0,838,713,12,31,185,21,12,1800
cnnpoint.com,Latin,1.0,755,552,116,92,212,76,76,1803
arsvest.ru,Russian,1.0,757,554,117,93,213,77,77,1811
weheart.moscow,English,1.0,768,565,112,88,210,71,71,1814
mytimesplus.co.uk/public/offers/eat-out-for-less-with-tastecard,English,1.0,840,715,14,35,187,24,14,1815
mytimesplus.co.uk/public/offers/win-a-luxury-holiday-in-the-caribbean,English,1.0,839,714,17,38,189,26,17,1823
mytimesplus.co.uk/public/offers/win-a-golf-and-spa-break-at-gleneagles,English,1.0,846,721,15,36,188,25,15,1831
evening-kazan.ru,Russian,1.0,765,562,118,94,214,78,78,1831
plus.google.com/+RT/posts,English,1.0,499,998,63,45,193,35,35,1833
twitter.com/PassiyaCom/status/675112889443860480/photo/1,Latin,1.0,19,1310,95,153,125,136,19,1838
mytimesplus.co.uk/public/offers/2-for-1-odeon-cinema-tickets-offer,English,1.0,847,722,18,39,190,27,18,1843
login.thetimes.co.uk/links/terms,English,1.0,11,738,806,84,22,182,11,1843
twitter.com/PassiyaCom/status/675125482866794497/photo/1,Latin,1.0,20,1311,96,154,126,137,20,1844
facebook.com/timesandsundaytimes,English,1.0,465,701,171,208,134,166,134,1845
twitter.com/PassiyaCom/status/675126662170869761/photo/1,English,1.0,21,1312,97,155,127,138,21,1850
ocsmedia.net/The-Times/subscription,English,1.0,466,702,172,209,135,167,135,1851
twitter.com/PassiyaCom/status/675102899995824129/photo/1,Latin,1.0,22,1313,98,156,128,139,22,1856
zrpress.ru,Russian,1.0,762,559,123,108,219,88,88,1859
zavtra.ru,Russian,1.0,763,560,124,109,220,89,89,1865
twitter.com/PassiyaCom/status/675104124334157824/photo/1,Latin,1.0,25,1316,99,157,129,140,25,1866
