url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
top100.rambler.ru,Russian,1.0,1,9,12,6,1,8,1,37
top.aquaexpert.ru?id=475&pos=find,Russian,1.0,2,44,3,1,10,1,1,61
vodoobmen.ru,Russian,1.0,32,10,8,10,11,11,8,82
twitter.com/ozon_books,Latin,1.0,24,1,21,18,2,21,1,87
healthysleep.ru/naduvnye.shtml,Russian,1.0,33,40,2,2,12,2,2,91
ozon.ru/context/detail/id/4247027,Russian,1.0,10,51,7,5,15,5,5,93
play.google.com/store/apps/details?id=ru.ozon.app.android,Kyrgyz,1.0,25,2,22,19,3,22,2,93
ozon.ru/context/detail/id/27615602,Russian,1.0,55,20,5,3,13,3,3,99
litres.ru,Russian,1.0,26,3,23,20,4,23,3,99
facebook.com/ozon.ru,English,1.0,27,4,24,21,5,24,4,105
ozon.ru/context/detail/id/27615595,Russian,1.0,57,22,6,4,14,4,4,107
healthspa.ru,Russian,1.0,8,46,14,11,18,10,8,107
ozon.travel?utm_medium=bottom&utm_source=ozon,Russian,1.0,28,5,25,22,6,25,5,111
itunes.apple.com/ru/app/ozon.ru/id407804998?mt=8,Russian,1.0,29,6,26,23,7,26,6,117
fisio.ru,Russian,1.0,36,43,10,7,16,6,6,118
healthysleep.ru,Russian,1.0,9,50,13,14,21,14,9,121
ocourier.ru,Russian,1.0,30,7,27,24,8,27,7,123
vodoobmen.ru/03-proizvoditeli.html,Russian,1.0,35,42,4,12,19,12,4,124
umki.ru,Russian,1.0,59,24,11,8,17,7,7,126
m.vk.com/ozon,Russian,1.0,31,8,28,25,9,28,8,129
tvoison.ru/regulation.shtml,Russian,1.0,34,41,9,13,20,13,9,130
velokat.ru/03-types-06-bmx.html,Russian,1.0,38,32,16,16,23,16,16,141
dachamania.ru,Russian,1.0,56,21,15,15,22,15,15,144
pilateslegko.ru/04.html,Russian,1.0,39,33,17,17,24,17,17,147
chlopok.ru/velvet.html,Russian,1.0,58,23,18,26,25,18,18,168
trenerovka.ru/cardio.html,Russian,1.0,40,34,20,28,27,20,20,169
ochisti.ru,Russian,1.0,46,11,29,29,28,29,11,172
tvoison.ru/dream.shtml,Russian,1.0,60,25,19,27,26,19,19,176
vodovoz.ru,Russian,1.0,47,12,30,30,29,30,12,178
andreyvl.ru,Russian,1.0,48,13,31,31,30,31,13,184
water.ru,Russian,1.0,49,14,32,32,31,32,14,190
nwr.ru,Russian,1.0,50,15,33,33,32,33,15,196
dishisvobodno.ru,Russian,1.0,61,61,1,9,61,9,1,202
fountainfoods.ru,Russian,1.0,51,16,34,34,33,34,16,202
healthsleep.ru,,,6,30,42,42,41,42,6,203
top.mail.ru/Rating/Business-Analytics/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,52,17,35,35,34,35,17,208
watermarket.ru,Russian,1.0,53,18,36,36,35,36,18,214
madamo.ru/fullsize.html,Russian,1.0,42,26,38,38,37,38,26,219
gicpv.ru,Russian,1.0,54,19,37,37,36,37,19,220
portanki.ru/galstuki_podbor.shtml,Russian,1.0,43,27,39,39,38,39,27,225
krosy.ru/skeitkrosy.html,Russian,1.0,44,28,40,40,39,40,28,231
ads.adfox.ru/202433/goDefaultLink?p1=biozy&p2=v,,,17,36,45,45,44,45,17,232
chlopok.ru/rayon.html,Russian,1.0,45,29,41,41,40,41,29,237
autorambler.ru?utm_content=autorambler&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,18,37,46,46,45,46,18,238
dancestart.ru,Russian,1.0,37,31,43,43,42,43,31,239
rambler-co.ru/jobs,Russian,1.0,19,38,47,47,46,47,19,244
iec-expo.com.ua/o-forume-aqua-ukraine-2014.html,,,7,45,49,49,48,49,7,247
r0.ru?topline=1&utm_content=r0&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,20,39,48,48,47,48,20,250
tenisist.ru/table_tennis.html,Russian,1.0,41,35,44,44,43,44,35,251
healthyhair.ru/hair_line.html,Russian,1.0,21,47,50,50,49,50,21,267
gidsm.ru,Russian,1.0,22,48,51,51,50,51,22,273
trenerovka.ru/forum,Russian,1.0,11,52,53,53,52,53,11,274
healthynails.ru/nakladnye_nogti.html,Russian,1.0,23,49,52,52,51,52,23,279
whitelab.pro,Russian,1.0,12,53,54,54,53,54,12,280
xn----gtbmipfchkdekf.xn--p1ai,Kyrgyz,1.0,13,54,55,55,54,55,13,286
jusprivatum.ru/reg-offshore-comp.htm,Russian,1.0,14,55,56,56,55,56,14,292
top.mail.ru/Rating/Sport-Bodybuilding/Today/Visitors/20.html?from=jumpfrom,Russian,1.0,3,58,59,59,58,59,3,296
sadomania.ru,Russian,1.0,15,56,57,57,56,57,15,298
ozon.ru/context/detail/id/27596730,Russian,1.0,4,59,60,60,59,60,4,302
new.krasfair.ru/rus/info-2013/index.shtml,Russian,1.0,16,57,58,58,57,58,16,304
top.mail.ru/Rating/House-Mistress/Today/Visitors/9.html?from=jumpfrom,Russian,1.0,5,60,61,61,60,61,5,308
