url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
mercedesbenzfashionweek.ru,Kyrgyz,1.0,28,10,6,17,31,16,6,108
mediawiki.org/wiki/MediaWiki,Latin,1.0,36,75,23,3,2,5,2,144
svyaznoy.ru/address_shops,Russian,1.0,22,106,22,1,13,1,1,165
wikimediafoundation.org/wiki/Privacy_policy,English,1.0,61,76,25,6,7,6,6,181
mediawiki.org/wiki/Special:MyLanguage/How_to_contribute,Latin,1.0,43,77,40,16,5,17,5,198
wikimediafoundation.org/wiki/Home,English,1.0,33,74,43,18,4,29,4,201
microsoft.com/en-us/store/apps/%d1%81%d0%b2%d1%8f%d0%b7%d0%bd%d0%be%d0%b9-%d1%82%d1%80%d1%8d%d0%b2%d0%b5%d0%bb-%d0%b0%d0%b2%d0%b8%d0%b0%d0%b1%d0%b8%d0%bb%d0%b5%d1%82%d1%8b/9wzdncrdrn58,Kyrgyz,1.0,25,107,54,12,21,15,12,234
"ru.wikipedia.org/wiki/%D0%97%D1%83%D0%B1%D0%BE%D0%B2,_%D0%90%D0%BD%D0%B4%D1%80%D0%B5%D0%B9_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87",Russian,1.0,262,9,4,10,30,10,4,325
svyaznoy.travel,Russian,1.0,24,7,37,100,27,135,7,330
wikimediafoundation.org/wiki/Terms_of_Use,English,1.0,93,79,46,43,22,74,22,357
svyaznoy.ru,Russian,1.0,21,105,55,69,14,134,14,398
wikimediafoundation.org/wiki/Terms_of_Use/ru,Russian,1.0,168,83,44,50,26,75,26,446
itunes.apple.com/ru/app/svaznoj-trevel/id827776921?mt=8,Russian,1.0,19,103,57,97,15,218,15,509
smi2.net,Russian,1.0,27,480,59,7,12,9,7,594
play.google.com/store/apps/details?hl=ru&id=ru.svyaznoy.travel.app,Russian,1.0,20,104,215,108,16,250,16,713
liveinternet.ru,Latin,1.0,13,91,274,73,3,265,3,719
svyaznoy.travel/feedback,Russian,1.0,35,143,38,146,243,138,35,743
moscowteslaclub.ru,Russian,1.0,147,8,122,147,164,156,8,744
creativecommons.org/licenses/by-sa/3.0,English,1.0,49,78,273,84,6,266,6,756
facebook.com/www.svyaznoy.travel,English,1.0,17,101,275,114,17,267,17,791
m.vk.com/svyaznoy.travel,Russian,1.0,18,102,276,115,18,268,18,797
wikidata.org/wiki/Q4194362,English,0.9999999999762788,479,100,7,56,154,64,7,860
commons.wikimedia.org/wiki/Category:Andrey_Zubov,Latin,1.0,513,99,9,78,156,84,9,939
interfax.ru,Russian,1.0,5,144,400,99,11,324,5,983
en.wikipedia.org/wiki/Ztohoven,English,1.0,631,15,17,49,228,50,15,990
twitter.com,English,1.0,104,44,319,177,24,328,24,996
"ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D1%82%D0%B5%D0%BD%D0%B5%D0%B2,_%D0%AD%D0%B4%D0%B3%D0%B0%D1%80_%D0%93%D0%B8%D0%BD%D0%B5%D1%80%D0%BE%D0%B2%D0%B8%D1%87",Russian,1.0,534,16,21,116,241,108,16,1036
"ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%B0%D0%BD,_%D0%9C%D0%B8%D0%BB%D0%BE%D1%88",Russian,1.0,770,11,10,48,152,54,10,1045
