url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
wikidata.org/wiki/Q5296,Quechua,1.0,8,6,1,1,6,2,1,24
meta.wikimedia.org/wiki/Main_Page,Latin,1.0,39,15,6,11,16,7,6,94
commons.wikimedia.org/wiki/Main_Page,Latin,1.0,40,17,4,12,19,9,4,101
species.wikimedia.org/wiki/Main_Page,Latin,1.0,64,31,2,16,35,8,2,156
wikidata.org/wiki/Wikidata:Main_Page,Latin,1.0,113,39,7,14,49,6,6,228
en.wikibooks.org/wiki/Main_Page,Latin,1.0,214,63,22,68,74,78,22,519
wikimediafoundation.org/wiki/Privacy_policy,English,1.0,4,4,493,6,4,23,4,534
en.wikipedia.org/wiki/Main_Page,English,1.0,13,19,391,30,18,97,13,568
mediawiki.org/wiki/MediaWiki,Latin,1.0,1,2,607,2,1,19,1,632
wikimediafoundation.org/wiki/%D0%9F%D1%80%D0%B8%D1%91%D0%BC%D0%BD%D0%B0%D1%8F,Russian,1.0,97,40,379,43,33,98,33,690
ru.wikinews.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,399,73,3,72,101,66,3,714
en.wikiquote.org/wiki/Main_Page,Latin,1.0,162,60,234,83,65,137,60,741
ru.wikibooks.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,398,74,15,96,102,87,15,772
en.wikinews.org/wiki/Main_Page,English,1.0,96,37,383,56,44,161,37,777
wikidata.org/wiki/Q83,Latin,1.0,11,18,710,21,15,18,11,793
mediawiki.org/wiki/Wikimedia,Latin,1.0,16,21,758,15,20,10,10,840
en.wiktionary.org/wiki/Wiktionary:Main_Page,Latin,1.0,26,25,590,36,26,176,25,879
ru.wikipedia.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,375,88,5,123,92,227,5,910
wikidata.org/wiki/Q621076,Latin,1.0,63,61,601,58,52,82,52,917
mediawiki.org/wiki/Special:MyLanguage/Help:Contents,Latin,1.0,9,8,885,9,8,15,8,934
mediawiki.org/wiki/Special:MyLanguage/How_to_contribute,Latin,1.0,3,3,884,4,3,51,3,948
ru.wikisource.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,424,89,9,140,117,178,9,957
wikimediafoundation.org/wiki/Home,English,1.0,2,1,902,3,2,96,1,1006
en.wikisource.org/wiki/Main_Page,Latin,1.0,342,69,88,159,87,404,69,1149
wikimediafoundation.org/wiki/Wikimedia:Privacy_policy,English,1.0,117,430,492,32,115,22,22,1208
en.wikiversity.org/wiki/Wikiversity:Main_Page,English,1.0,360,84,593,88,96,79,79,1300
ru.wikivoyage.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,420,93,14,262,133,405,14,1327
ru.wikiquote.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,428,87,91,268,118,448,87,1440
en.wikivoyage.org/wiki/Main_Page,English,1.0,418,72,412,175,97,352,72,1526
wikimediafoundation.org/wiki/Terms_of_Use,English,1.0,7,7,917,10,7,582,7,1530
fr.wikipedia.org/wiki/Wikip%C3%A9dia:Accueil_principal,French,1.0,519,95,519,136,107,177,95,1553
it.wikipedia.org/wiki/Pagina_principale,Italian,1.0,726,107,511,78,128,62,62,1612
meta.wikimedia.org/wiki/Privacy_policy/fr,French,1.0,71,70,643,119,54,664,54,1621
mediawiki.org/wiki/How_to_contribute/ru,Kyrgyz,1.0,111,45,886,67,37,494,37,1640
wikimediafoundation.org/wiki/Terms_of_Use/ru,Russian,1.0,84,35,897,60,30,583,30,1689
wikiversity.org,Latin,1.0,38,43,878,71,40,627,38,1697
eo.wikipedia.org/wiki/Vikipedio:%C4%88efpa%C4%9Do,Esperanto,1.0,634,108,313,218,150,278,108,1701
wikibooks.org,Latin,1.0,32,46,879,76,42,628,32,1703
wikinews.org,Latin,0.9999997864075171,34,36,882,66,34,663,34,1715
en.wiktionary.org/wiki/Main_Page,Latin,1.0,544,126,591,154,129,179,126,1723
wikiquote.org,Quechua,0.9999999997911824,35,48,880,86,47,629,35,1725
kk.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D1%82%D1%8B_%D0%B1%D0%B5%D1%82,Kazakh,1.0,1171,118,19,129,169,126,19,1732
sl.wikipedia.org/wiki/Glavna_stran,Slovene,1.0,901,97,36,232,131,353,36,1750
vi.wikipedia.org/wiki/Trang_Ch%C3%ADnh,Vietnamese,1.0,683,106,359,203,130,277,106,1758
meta.wikimedia.org/wiki/Privacy_policy/it,Italian,1.0,107,94,645,184,70,665,70,1765
cy.wikipedia.org/wiki/Hafan,Latin,1.0,911,101,350,134,148,139,101,1783
ru.wikiversity.org/wiki/%D0%97%D0%B0%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,Russian,1.0,416,83,495,249,108,447,83,1798
meta.wikimedia.org/wiki/Privacy_policy/es,Spanish,1.0,119,96,646,208,77,667,77,1813
ro.wikipedia.org/wiki/Pagina_principal%C4%83,Romanian,1.0,729,115,322,220,151,279,115,1816
donate.wikimedia.org/w/index.php?country=XX&title=Special%3AFundraiserLandingPage&uselang=ru&utm_campaign=C13_ru.wikipedia.org&utm_medium=sidebar&utm_source=donate,Russian,1.0,110,44,764,79,38,781,38,1816
cs.wikipedia.org/wiki/Hlavn%C3%AD_strana,Czech,1.0,558,104,448,246,132,354,104,1842
wikimediafoundation.org/wiki/Wikimedia:About,English,1.0,118,431,918,122,116,138,116,1843
hu.wikipedia.org/wiki/Kezd%C5%91lap,Hungarian,1.0,931,150,437,102,168,80,80,1868
nl.wikipedia.org/wiki/Hoofdpagina,"Luxembourgish, Letzeburgesch",1.0,668,111,330,274,153,355,111,1891
ta.wikipedia.org/wiki/%E0%AE%AE%E0%AF%81%E0%AE%A4%E0%AE%B1%E0%AF%8D_%E0%AE%AA%E0%AE%95%E0%AF%8D%E0%AE%95%E0%AE%AE%E0%AF%8D,Tamil,1.0,1057,131,308,106,217,83,83,1902
wikivoyage.org,Latin,1.0,47,82,881,188,75,630,47,1903
gl.wikipedia.org/wiki/Portada,Galician,1.0,714,127,453,223,172,248,127,1937
bs.wikipedia.org/wiki/Po%C4%8Detna_strana,Croatian,1.0,1004,121,53,265,229,280,53,1952
meta.wikimedia.org/wiki/Privacy_policy/de,German,1.0,106,86,770,187,66,753,66,1968
fr.wikinews.org/wiki/Accueil,French,1.0,609,440,545,94,216,65,65,1969
de.wikinews.org/wiki/Hauptseite,German,1.0,625,436,565,107,147,99,99,1979
su.wikipedia.org/wiki/Tepas,Javanese,1.0,988,117,373,150,220,140,117,1988
blog.wikimedia.org,English,1.0,22,137,935,189,71,666,22,2020
eo.wikinews.org/wiki/%C4%88efpa%C4%9Do,Esperanto,1.0,782,605,74,73,460,52,52,2046
creativecommons.org/licenses/by-sa/3.0,English,1.0,5,5,944,7,5,1094,5,2060
bn.wikipedia.org/wiki/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%A7%E0%A6%BE%E0%A6%A8_%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE,"Bengali, Bangla",1.0,1155,122,319,133,219,119,119,2067
