url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
mhg-main.org,Russian,1.0,36,2223,9,2,12,2,2,2284
mhg.ru,Russian,1.0,10,2292,8,3,4,3,3,2320
yavlinsky.ru,Russian,1.0,8,2305,21,4,8,4,4,2350
spring96.org,Belarusian,1.0,20,2234,37,25,10,70,10,2396
zashita-zk.org,Russian,1.0,88,2254,6,38,44,53,6,2483
strategy-spb.ru,Russian,1.0,37,2264,43,64,37,79,37,2524
yabloko.ru,Russian,1.0,15,2459,3,10,19,19,3,2525
zagr.org,Russian,1.0,108,2296,2,55,13,85,2,2559
ombudsmanrf.org,Russian,1.0,80,2232,38,72,26,113,26,2561
pytkam.net,Russian,1.0,107,2225,44,65,16,112,16,2569
asi.org.ru,Quechua,1.0,132,2246,77,60,25,78,25,2618
yhrm.org,Russian,1.0,41,2224,95,95,20,161,20,2636
ihahr.org,Russian,1.0,226,2294,47,27,43,48,27,2685
novayagazeta.ru,Russian,1.0,75,2221,256,37,11,95,11,2695
svoboda.org,Russian,1.0,304,2241,171,7,24,14,7,2761
manandlaw.info,Russian,1.0,281,2258,18,71,54,80,18,2762
hro.org,Russian,1.0,30,2220,111,87,5,328,5,2781
hrc-main.org,Russian,1.0,122,2229,101,130,39,171,39,2792
transparency.org.ru,Russian,1.0,34,2233,190,121,28,188,28,2794
europeangreens.eu,English,1.0,97,2343,147,78,27,118,27,2810
trudorg.ru,Russian,1.0,100,2344,132,88,38,119,38,2821
president-sovet.ru,Russian,1.0,49,2230,177,120,14,232,14,2822
top100.rambler.ru,Russian,1.0,5,2251,186,63,2,326,2,2833
zaprava.ru,Russian,1.0,194,2228,52,128,29,204,29,2835
sova-center.ru,Russian,1.0,134,2235,138,132,30,205,30,2874
aldeparty.eu/en,English,1.0,24,2341,146,151,56,173,24,2891
memo.ru,Russian,1.0,99,2226,180,139,17,254,17,2915
twitter.com/mhg1976,Latin,1.0,357,2295,57,81,135,81,57,3006
refugee.ru/en,Latin,1.0,98,2238,257,189,48,233,48,3063
army-hr.ru,Russian,1.0,246,2267,49,181,141,190,49,3074
openrussia.org,Russian,1.0,51,2268,237,211,59,256,51,3082
racyja.com,Belarusian,1.0,264,2485,87,82,109,86,82,3113
aru.tv,Russian,1.0,3,2345,242,212,49,279,3,3130
right-child.ru,Russian,1.0,28,2269,110,275,145,304,28,3131
helsinki.org.ua,Ukrainian,1.0,245,2247,281,143,46,172,46,3134
openinform.ru,Russian,1.0,443,2237,137,131,45,162,45,3155
moikrug.ru,Russian,1.0,23,2391,318,180,57,206,23,3175
amnesty.org.ru,Russian,1.0,106,2222,367,164,18,301,18,3178
onk-ru.info,Russian,1.0,250,2240,109,219,40,329,40,3187
sakharov-center.ru,Russian,1.0,225,2249,168,208,114,236,114,3200
kremlin.ru,Russian,1.0,110,2396,261,172,47,221,47,3207
publicverdict.org,Russian,1.0,306,2227,213,171,36,255,36,3208
hotlog.ru,Russian,1.0,9,2392,401,86,3,327,3,3218
tvrain.ru,Russian,1.0,187,2250,238,222,60,280,60,3237
portal-credo.ru,Russian,1.0,268,2245,157,221,50,302,50,3243
civilsociety.su,Russian,1.0,101,2239,119,302,119,368,101,3248
