url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
bigmir.net,Russian,1.0,6,43,22,5,4,5,4,85
twitter.com/3D_News,Latin,1.0,71,48,23,6,19,6,6,173
autonews.ru,Russian,1.0,42,42,30,18,21,20,18,173
plus.google.com/+3dnews,Russian,1.0,37,82,21,15,20,15,15,190
timp.cohula.ru,Quechua,1.0,22,46,61,28,5,34,5,196
top100.rambler.ru,Russian,1.0,3,5,106,13,1,82,1,210
cnews.ru,Russian,1.0,39,7,74,41,10,43,7,214
rating.openstat.com/site/887757,Russian,1.0,34,47,64,32,6,35,6,218
timp.cohula.ru/pro,Chinese,1.0,33,49,59,39,7,47,7,234
top.mail.ru/Rating/Computers-Software/Today/Visitors/25.html?from=jumpfrom,Russian,1.0,66,98,10,9,48,9,9,240
rbcdaily.ru,Russian,1.0,121,8,53,20,26,19,8,247
liveinternet.ru,Latin,0.99990980010068,1,3,139,23,2,135,1,303
hotlog.ru,Russian,1.0,5,71,116,26,3,83,3,304
timp.cohula.ru/content/view/27/51,Quechua,1.0,107,95,57,34,53,29,29,375
"timp.cohula.ru/component/option,com_jambook",Quechua,1.0,108,96,62,42,54,36,36,398
youtube.com/user/3DNewsRU,Kyrgyz,1.0,176,84,24,45,29,48,24,406
mysites.ru/categories.php?cat=Programmiy,Russian,1.0,65,97,4,90,59,99,4,414
ok.ru/group/54669301383183,Russian,1.0,266,88,27,11,49,11,11,452
socialmart.ru,Russian,1.0,265,87,48,17,50,16,16,483
rbc.ru,Russian,1.0,64,2,152,106,11,153,2,488
servernews.ru,Russian,1.0,177,85,33,74,31,97,31,497
rbctv.rbc.ru/live,Russian,1.0,58,163,40,54,147,51,40,513
ukr.net/ua/terms,Ukrainian,1.0,9,45,189,107,12,154,9,516
rbc.ru/error,,,10,1,151,152,40,162,1,516
top.mail.ru/Rating/Internet-Navigation/Today/Visitors/3.html?from=jumpfrom,Russian,1.0,28,468,1,7,25,8,1,537
ifirstaidkits.com,English,1.0,51,50,190,108,13,155,13,567
timp.cohula.ru/content/view/67/74,Quechua,1.0,52,51,191,109,14,156,14,573
timp.cohula.ru/content/view/59/73,Quechua,1.0,53,52,192,110,15,157,15,579
timp.cohula.ru/content/view/126,Quechua,1.0,54,53,193,111,16,158,16,585
timp.cohula.ru/content/view/127,Quechua,1.0,55,54,194,112,17,159,17,591
timp.cohula.ru/content/view/29/1,Quechua,1.0,94,334,56,30,51,27,27,592
i.ua,Russian,1.0,38,89,218,88,8,151,8,592
timp.cohula.ru/content/view/16/38,Quechua,1.0,56,55,195,113,18,160,18,597
hc.ru,Russian,1.0,89,6,154,153,41,163,6,606
m.vk.com/ru_3dnews,Russian,1.0,93,83,140,131,35,136,35,618
orphus.ru,Latin,1.0,238,57,115,87,32,98,32,627
ucoz.ru,Russian,1.0,36,72,209,136,23,161,23,637
mysites.ru,Russian,1.0,32,469,2,44,56,44,2,647
rbctv.rbc.ru,Russian,1.0,139,10,156,170,65,172,10,712
qip.ru,Russian,1.0,386,78,26,53,146,50,26,739
biztorg.ru,Russian,1.0,175,9,155,169,64,171,9,743
mysites.biz,English,1.0,27,467,9,91,33,117,9,744
shopaholic.ru,Russian,1.0,122,359,88,67,57,68,57,761
rbctv.ru,,,129,44,188,171,66,173,44,771
timp.cohula.ru/content/view/26/50,Quechua,1.0,172,336,58,38,138,32,32,774
metrika.yandex.ru/dashboard?from=informer&id=434756,Kyrgyz,1.0,264,86,122,129,61,119,61,781
ruproxy.ru,Russian,1.0,46,552,67,47,30,49,30,791
get.adobe.com/flashplayer/otherversions,English,1.0,8,153,275,175,70,177,8,858
facebook.com/3dnews,English,1.0,120,99,224,173,68,175,68,859
ilinks.ru,Russian,1.0,188,466,71,43,55,37,37,860
plus.google.com/+%D0%A0%D0%91%D0%9A/posts,Russian,1.0,571,63,65,31,135,26,26,891
reformal.ru,Russian,1.0,183,100,225,174,69,176,69,927
habrahabr.ru/company/mailru/blog/262611,Russian,1.0,340,556,18,4,24,4,4,946
youtube.com?tab=X1,English,1.0,197,137,259,154,42,164,42,953
bestfiles.ru,Quechua,1.0,138,594,8,73,58,84,8,955
passport.webmoney.ru/asp/certview.asp?wmid=705909725345,Russian,1.0,192,345,95,81,170,76,76,959
timp.cohula.ru/content/view/91/93,Quechua,1.0,245,94,223,172,67,174,67,975
