url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
1c-bitrix.ua,Russian,1.0,17,60,42,1,9,1,1,130
bitrix24.de,German,1.0,6,56,73,9,1,40,1,185
twitter.com/ucoz_ru,Kyrgyz,1.0,11,130,29,7,7,18,7,202
bitrix24.com,English,1.0,7,57,80,11,2,56,2,213
twitter.com/Amisport1,Latin,1.0,29,64,105,2,13,4,2,217
bitrix24.ru,Russian,1.0,8,58,70,22,3,80,3,241
odnoklassniki.ru/group/51890324701356,Kyrgyz,1.0,41,76,114,4,14,8,4,257
plus.google.com/+ucozru/posts,Russian,1.0,46,153,2,18,15,23,2,257
amisport.com.ua/shop/dlja-zhenshhin/aksessuary,Russian,1.0,30,65,93,32,16,41,16,277
amisport.com.ua/shop/dlja-zhenshhin/odezhda,Russian,1.0,32,67,94,33,17,42,17,285
amisport.com.ua/shop/dlja-muzhchin,Russian,1.0,33,68,95,34,18,43,18,291
ok.ru/ucozru,Russian,1.0,23,132,116,5,10,10,5,296
amisport.com.ua/shop/dlja-muzhchin/obuv,Russian,1.0,34,69,96,35,19,44,19,297
twitter.com/1C_Bitrix,Latin,1.0,25,106,67,27,48,27,25,300
prograbli.ru?utm_campaign=top&utm_medium=menu&utm_source=1c-bitrix.ru,Russian,1.0,21,61,64,56,12,91,12,305
amisport.com.ua/shop/dlja-zhenshhin/obuv,Russian,1.0,37,72,97,36,20,45,20,307
amisport.com.ua/shop/dlja-zhenshhin/krossovki,Russian,1.0,38,73,98,37,21,46,21,313
bitrix24.com.br,Portuguese,1.0,72,89,74,21,41,21,21,318
twitter.com/bitrix24,English,1.0,62,84,83,26,34,29,26,318
amisport.com.ua/shop/dlja-muzhchin/aksessuary-1,Russian,1.0,39,74,99,38,22,47,22,319
amisport.com.ua/shop/dlja-muzhchin/odezhda,Russian,1.0,40,75,100,39,23,48,23,325
amisport.com.ua/shop/dlja-muzhchin/krossovki,Russian,1.0,42,77,101,40,24,49,24,333
aic.ru,Kyrgyz,1.0,2,59,133,45,4,96,2,339
amisport.com.ua/shop/dlja-zhenshhin,Russian,1.0,44,79,102,41,25,50,25,341
ucoz.ru,Russian,1.0,3,314,1,3,5,17,1,343
bitrix24.es,Spanish,1.0,47,86,79,46,35,51,35,344
bitrix24.cn,Chinese,1.0,86,91,75,24,46,24,24,346
bitrix24.in,English,1.0,83,88,77,31,42,30,30,351
bitrix24.cn/tc,Chinese,1.0,87,92,76,25,47,25,25,352
web-love.me,Russian,1.0,35,70,108,48,26,67,26,354
plus.google.com/+Bitrix24com,English,1.0,59,81,86,47,36,52,36,361
bitrix24.eu,English,1.0,85,87,78,43,43,36,36,372
blog.bitrix24.ru?utm_campaign=top&utm_medium=menu&utm_source=1c-bitrix.ru,Russian,1.0,22,62,66,72,29,134,22,385
1c-bitrix.ru,Russian,1.0,19,102,52,81,45,97,19,396
bitrix24.ua,Ukrainian,1.0,28,63,72,77,32,135,28,407
shopeng.com.ua,Russian,1.0,43,78,153,57,27,85,27,443
manual.ucoz.net,Russian,1.0,52,206,4,66,50,72,4,450
utemplate.pro,Russian,1.0,16,139,121,54,6,114,6,450
plus.google.com/111119180387208976312,Russian,1.0,93,108,68,60,110,53,53,492
upartner.pro,Russian,1.0,48,205,9,86,51,98,9,497
uscript.pro,Russian,1.0,27,235,14,70,28,133,14,507
peskomment.ru,Russian,1.0,105,208,30,59,44,71,30,517
youtube.com/user/Bitrix24,English,1.0,88,85,85,88,37,136,37,519
plus.google.com/+Bitrix24Deu,German,1.0,97,138,84,61,111,54,54,545
aicdigital.com,Latin,0.9616569521454251,69,80,139,89,38,137,38,552
tilda-mania.ru,Russian,1.0,119,209,3,65,98,62,3,556
facebook.com/amisport.com.ua?ref_type=bookmark,English,1.0,31,66,193,99,30,195,30,614
twitter.com/bitrix24de,English,1.0,175,156,82,49,135,31,31,628
m.vk.com/amisport,Russian,1.0,36,71,194,100,31,196,31,628
facebook.com/ucoz,English,1.0,24,133,197,84,11,194,11,643
helpdesk.bitrix24.de/dokumentation.php?COURSE_ID=55,German,1.0,173,154,89,69,139,58,58,682
facebook.com/bitrix24,English,1.0,61,83,195,116,39,197,39,691
amisport.com.ua,Russian,1.0,161,211,92,62,112,55,55,693
1c-bitrix.ru/products/cms/index.php,Russian,1.0,106,334,51,52,136,34,34,713
ucoz.ru/all,Russian,1.0,233,331,21,20,133,15,15,753
r0.ru?topline=1&utm_content=r0&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,116,415,111,10,96,6,6,754
m.vk.com/ucoz,Russian,1.0,12,131,306,85,8,219,8,761
autorambler.ru?utm_content=autorambler&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,114,413,115,16,97,14,14,769
youtube.com/channel/UC8G6EN8RSb3N_FRO8oFjDMQ,English,1.0,141,114,87,152,118,162,87,774
vwo.com?utm_campaign=CertifiedPartners&utm_medium=cpbadge&utm_source=aic.ru,English,1.0,55,309,137,76,140,64,55,781
linkedin.com/groups/4426654/profile,English,1.0,60,82,272,134,40,221,40,809
blog.ucoz.ru,Russian,1.0,157,315,28,106,115,100,28,821
rambler-co.ru/jobs,Russian,1.0,100,412,142,64,49,68,49,835
facebook.com/bitrix24de,English,1.0,91,111,196,175,100,198,91,871
poetree.ru,Russian,1.0,84,213,140,156,120,164,84,877
facebook.com/1CBitrix,English,1.0,45,158,198,176,101,199,45,877
blog.ucoz.ru/ucoz/black_friday_2015,Russian,1.0,75,553,22,58,137,39,22,884
xing.com/communities/groups/bitrix-internet-intranet-extranet-1033531,German,1.0,174,155,159,133,152,121,121,894
arsaman.ru,Russian,1.0,258,446,5,50,109,37,5,905
uguide.ru/kak-sozdat-svoj-sajt,Russian,1.0,179,390,11,102,144,89,11,915
pedsovet.su,Russian,1.0,291,210,90,108,116,101,90,916
helpdesk.bitrix24.com,English,1.0,127,90,273,161,52,222,52,925
gta-real.com,Russian,1.0,162,212,138,155,119,163,119,949
twitter.com/Prograbli,Latin,1.0,196,291,130,53,264,33,33,967
calendar.mail.ru/login?page=%2F,Latin,1.0,259,19,235,177,59,224,19,973
m.vk.com/bitrix_1c,Russian,1.0,26,107,286,210,92,257,26,978
health.mail.ru?from=odnoklassniki,Russian,1.0,260,20,236,178,60,225,20,979
forum.ucoz.ru,Russian,1.0,234,332,34,118,147,116,34,981
horo.mail.ru?from=odnoklassniki,Russian,1.0,261,21,237,179,61,226,21,985
money.mail.ru?from=odnoklassniki,Kyrgyz,1.0,262,22,238,180,62,227,22,991
myliverpool.ru,Russian,1.0,305,443,6,67,113,63,6,997
torg.mail.ru?from=odnoklassniki,Russian,1.0,263,23,239,181,63,228,23,997
cloud.mail.ru?utm_campaign=cloud+promo&utm_medium=link&utm_source=portal.navi,Russian,1.0,264,24,240,182,64,229,24,1003
top.mail.ru?from=odnoklassniki,Russian,1.0,265,25,241,183,65,230,25,1009
chelseablues.ru,Russian,1.0,366,214,45,120,149,118,45,1012
my.mail.ru/cgi-bin/login?page=https%3A%2F%2Fmy.mail.ru%2F%3Ffrom%3Dodnoklassniki,Kyrgyz,1.0,266,26,242,184,66,231,26,1015
news.mail.ru?from=odnoklassniki,Russian,1.0,267,27,243,185,67,232,27,1021
soccer.ru,Russian,1.0,125,402,175,115,58,150,58,1025
apiok.ru/wiki/display/TS/Home,Russian,1.0,268,28,244,186,68,233,28,1027
icq.com/windows/ru,Russian,1.0,269,29,245,187,69,234,29,1033
sport.mail.ru?from=odnoklassniki,Russian,1.0,270,30,246,188,70,235,30,1039
blog.ucoz.ru/newsline/viber,Russian,1.0,395,362,23,68,138,57,23,1043
