url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
hotlog.ru,Russian,1.0,3,2,11,9,3,10,2,38
twitter.com/NewsOfUkraine,Kyrgyz,1.0,1,45,2,1,1,1,1,51
hotlog.ru?18814+target=_top,Russian,1.0,2,42,3,3,2,3,2,55
twitter.com/hotlogproject,Latin,1.0,5,44,1,2,4,2,1,58
infostars.ru,Russian,1.0,4,43,9,5,5,5,4,71
hotlog.ru/global/browser,Russian,1.0,30,1,10,11,9,11,1,72
pressorg24.com/politics/evromaidan-onlain-gromadske-tv-online-translyaciya,Russian,1.0,7,46,4,6,6,6,4,75
webat25.org,English,1.0,31,3,12,12,10,12,3,80
pressorg24.com/politics/veb-kamera-na-maidan-nezalezhnosti-kiev-onlain-video,Russian,1.0,8,47,5,7,7,7,5,81
hotlog.ru/global/screen,Russian,1.0,32,4,13,13,11,13,4,86
pressorg24.com/politics/espresso-tv-onlain-translyatsiya-maidana-v-gorode-kieve-pryamoi-efir,Russian,1.0,9,48,6,8,8,8,6,87
rkn.gov.ru/news/rsoc/news23775.htm,Russian,1.0,33,5,14,14,12,14,5,92
wciom.ru/index.php?id=459&uid=113471,Russian,1.0,34,6,15,15,13,15,6,98
comscore.com/Insights/Press-Releases/2012/12/comScore-Releases-November-2012-US-Online-Video-Rankings,English,1.0,35,7,16,16,14,16,7,104
twitter.com/globalwebindex/status/443785649616093184/photo/1,English,1.0,36,8,17,17,15,17,8,110
hotlog.ru/gctop,Russian,1.0,37,9,18,18,16,18,9,116
hotlog.ru/global/se,Russian,1.0,38,10,19,19,17,19,10,122
searchengines.ru/seoblog/google_mobile_day.html,Russian,1.0,39,11,20,20,18,20,11,128
twitter.com/globalwebindex/status/434375020908122112/photo/1,English,1.0,40,12,21,21,19,21,12,134
sostav.ru/news/2012/12/20/mobilniy_socseti,Russian,1.0,41,13,22,22,20,22,13,140
sdstream.ru,Russian,1.0,6,21,30,30,28,30,6,145
twitter.com/globalwebindex/status/431829580744511489/photo/1,English,1.0,42,14,23,23,21,23,14,146
gartner.com/newsroom/id/2280617,English,1.0,43,15,24,24,22,24,15,152
pressorg24.com/news?id=213969,Russian,1.0,10,22,31,31,29,31,10,154
twitter.com/hotlogproject/status/261115051186982912,Latin,1.0,44,16,25,25,23,25,16,158
pressorg24.com/news?id=213968,Russian,1.0,11,23,32,32,30,32,11,160
old.iatp.org.ua,Russian,1.0,50,50,7,4,49,4,4,164
top1000-ru.hotlog.ru,Russian,1.0,45,17,26,26,24,26,17,164
pressorg24.com/news?id=213963,Russian,1.0,12,24,33,33,31,33,12,166
hotlog.ru/news,Russian,1.0,46,18,27,27,25,27,18,170
pressorg24.com/news?id=213962,Russian,1.0,13,25,34,34,32,34,13,172
windows.microsoft.com/en-us/internet-explorer/browser-ie,English,1.0,47,19,28,28,26,28,19,176
pressorg24.com/news?id=213965,Russian,1.0,14,26,35,35,33,35,14,178
judaica.kiev.ua,Russian,1.0,51,51,8,10,50,9,8,179
cnet.com/news/firefoxs-new-interface-is-almost-here,English,1.0,48,20,29,29,27,29,20,182
pressorg24.com/news?id=213967,Russian,1.0,15,27,36,36,34,36,15,184
pressorg24.com/news?id=213966,Russian,1.0,16,28,37,37,35,37,16,190
pressorg24.com/news?id=213956,Russian,1.0,17,29,38,38,36,38,17,196
pressorg24.com/news?id=213952,Russian,1.0,18,30,39,39,37,39,18,202
pressorg24.com/news?id=213972,Russian,1.0,19,31,40,40,38,40,19,208
pressorg24.com/news?id=213973,Russian,1.0,20,32,41,41,39,41,20,214
pressorg24.com/news?id=213970,Russian,1.0,21,33,42,42,40,42,21,220
pressorg24.com/news?id=213971,Russian,1.0,22,34,43,43,41,43,22,226
pressorg24.com/news?id=213974,Russian,1.0,23,35,44,44,42,44,23,232
pressorg24.com,Russian,1.0,24,36,45,45,43,45,24,238
pressorg24.com/news?id=213995,Russian,1.0,25,37,46,46,44,46,25,244
pressorg24.com/news?id=214001,Russian,1.0,26,38,47,47,45,47,26,250
pressorg24.com/news?id=213997,Russian,1.0,27,39,48,48,46,48,27,256
pressorg24.com/news?id=213993,Russian,1.0,28,40,49,49,47,49,28,262
pressorg24.com/news?id=213999,Russian,1.0,29,41,50,50,48,50,29,268
jw.org/en,Latin,1.0,49,49,51,51,51,51,49,302
