url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
flibusta.is,Russian,1.0,64,472,1,32,11,48,1,628
twitter.com/RuBlackListNET,Kyrgyz,1.0,147,412,73,21,10,25,10,688
booktracker.org,Russian,1.0,16,565,5,52,5,71,5,714
cyberleninka.ru,Russian,1.0,24,564,28,36,1,70,1,723
liveinternet.ru,Latin,1.0,9,430,18,99,4,173,4,733
lib.rus.ec,Russian,1.0,3,533,11,72,48,85,3,752
plus.google.com/+RublacklistNet,Russian,1.0,199,421,65,25,28,26,25,764
changecopyright.ru,Russian,1.0,88,415,118,60,6,81,6,768
zarunet.org,Russian,1.0,198,420,66,28,29,30,28,771
magzdb.org,Russian,1.0,22,525,12,90,3,144,3,796
youtube.com/user/RosKomSvoboda,Russian,1.0,232,422,61,35,31,37,31,818
coollib.net,Russian,1.0,70,532,6,57,104,56,6,825
geektimes.ru/post/264922,Russian,1.0,44,656,39,4,93,4,4,840
top.mail.ru/Rating/State-State/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,276,447,43,15,44,16,15,841
phpbb.com,English,1.0,8,534,112,71,47,72,8,844
opennicproject.org,English,1.0,51,531,104,74,8,107,8,875
openid.net,English,1.0,79,566,77,73,7,106,7,908
rublacklist.net/13361,Russian,1.0,49,660,40,42,100,42,40,933
bitnovosti.com/lenta/comment-page-68,Russian,1.0,146,654,44,6,94,6,6,950
fbsearch.ru,Russian,1.0,152,568,15,98,20,116,15,969
seedoff.net,Russian,1.0,181,329,148,129,51,132,51,970
lib.rus.ec/booklib,Russian,1.0,153,569,17,104,22,130,17,995
creativecommons.org/licenses/by/3.0/deed.ru,Russian,1.0,107,417,179,120,16,175,16,1014
sci-hub.io,English,1.0,109,567,122,101,14,129,14,1042
facebook.com/RuBlackList,English,1.0,149,414,178,119,15,174,15,1049
r0.ru?topline=1&utm_content=r0&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,102,851,57,8,26,11,8,1055
piratpartiet.no/dns,Norwegian,1.0,138,663,82,44,102,44,44,1073
autorambler.ru?utm_content=autorambler&utm_medium=topline&utm_source=top100,Kyrgyz,1.0,101,850,62,17,27,17,17,1074
top.mail.ru/Rating/References-Calendars/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,128,687,21,12,221,12,12,1081
habrahabr.ru/company/mailru/blog/262611,Russian,1.0,506,478,49,7,43,7,7,1090
twitter.com/openid,English,1.0,122,723,79,39,99,38,38,1100
calendar.yuretz.ru,Russian,1.0,209,576,19,122,50,131,19,1107
rublacklist.net,Russian,1.0,56,289,491,97,2,203,2,1138
rambler-co.ru/jobs,Russian,1.0,75,849,99,49,12,58,12,1142
rublacklist.net/12118,Russian,1.0,370,636,3,27,97,27,3,1160
twitter.com/RuBlackListNET/status/660061580076404736/photo/1,Kyrgyz,1.0,47,658,48,151,115,146,47,1165
swalker.org,Russian,1.0,190,578,123,89,106,87,87,1173
twitter.com/GeekTimes_ru/status/659733534488293376/photo/1,Latin,1.0,46,657,54,153,116,147,46,1173
torproject.org/projects/torbrowser.html.en,English,1.0,332,480,53,105,109,100,53,1179
top100.rambler.ru/navi?page=1&pageCount=30&resourceId=2788277&stat=0&theme=652%2F663&view=short,Kyrgyz,0.9998054316891386,129,688,22,53,242,50,22,1184
seatracker.ru,Kyrgyz,1.0,257,536,85,40,236,36,36,1190
sim-networks.com/index.php?pid=961,Russian,1.0,278,449,149,130,52,133,52,1191
twitter.com/TopMailRu,Kyrgyz,1.0,505,477,91,47,45,49,45,1214
twitter.com/bit_novosti/status/660412207793074176/photo/1,Kyrgyz,1.0,145,653,64,123,113,118,64,1216
geti2p.net/en,English,1.0,5,991,87,62,13,82,5,1240
booktracker.org/login.php?redirect=viewtopic.php&t=9307,Russian,1.0,55,635,129,156,117,148,55,1240
habrahabr.ru/post/249257,Russian,1.0,581,539,37,3,92,3,3,1255
getdigital.eu/I2P-Fanshirt.html,English,1.0,60,1028,81,29,30,33,29,1261
plus.google.com/+openid,English,1.0,12,988,74,43,101,43,12,1261
twitter.com/ListRead/status/660391915116888064/photo/1,Latin,1.0,43,655,177,163,118,149,43,1305
twitter.com/bit_novosti/status/666308838342070272/photo/1,Latin,1.0,45,664,186,167,119,150,45,1331
babaylik.ru,Russian,1.0,258,537,113,85,264,78,78,1335
i2p-projekt.de/en,English,1.0,62,1030,83,66,32,83,32,1356
i2pproject.net/en,English,1.0,63,1031,84,67,33,84,33,1362
facebook.com/ListRead/photos/a.720277831317116.1073741826.294803970531173/1075348525810043?type=3,Kyrgyz,1.0,48,659,185,199,121,185,48,1397
youtube.com/user/TheOpenIDFoundation,English,1.0,121,722,95,180,120,184,95,1422
trac.i2p2.de,English,1.0,53,1026,142,103,21,117,21,1462
i2pshop.spreadshirt.com,English,1.0,54,993,101,124,23,176,23,1471
mywot.com/ru,Russian,1.0,503,475,160,144,53,145,53,1480
pirate-party.ru,Russian,1.0,104,416,614,147,24,208,24,1513
twitter.com/flibusta,Kyrgyz,1.0,584,645,2,30,231,28,2,1520
m.vk.com/rublacklist,Russian,1.0,148,413,613,131,17,205,17,1527
geti2p.net/ru/download,Russian,1.0,583,644,35,24,229,23,23,1538
traumlibrary.net,Russian,1.0,259,538,150,157,297,138,138,1539
twitter.com/TopMailRu/status/628479180192280576,Latin,1.0,501,473,180,164,55,180,55,1553
itunes.apple.com/ru/app/rejting-mail.ru-dla-iphone/id948609840?mt=8,Russian,1.0,502,474,181,165,56,181,56,1559
itunes.apple.com/ru/app/rejting-mail.ru/id843756987?mt=8,Russian,1.0,504,476,182,166,57,182,57,1567
openrunet.org,Russian,1.0,85,418,615,214,71,229,71,1632
creativecommons.org/licenses/by-sa/4.0,English,1.0,61,1029,188,145,34,177,34,1634
earth-chronicles.ru,Russian,1.0,744,577,26,91,107,93,26,1638
reikimoscow.ru,Russian,1.0,308,977,46,111,110,109,46,1661
booktracker.org/viewforum.php?f=1186,Russian,1.0,34,965,130,181,307,155,34,1772
plus.google.com/+PiratemediaNet,Russian,1.0,204,431,624,215,72,230,72,1776
twitter.com/_PirateMEDIA,Latin,1.0,205,432,625,216,73,231,73,1782
facebook.com/piratemedia,English,1.0,206,433,626,217,74,232,74,1788
m.vk.com/piratemedia,Russian,1.0,207,434,627,218,75,233,75,1794
componentace.com,English,1.0,373,980,29,82,261,75,29,1800
register.ing,English,1.0,130,1278,121,88,105,86,86,1808
twitter.com/opennic,English,1.0,131,1279,116,100,108,95,95,1829
emercoin.com,,,69,540,714,223,80,238,69,1864
presscustomizr.com,English,1.0,188,989,141,137,288,122,122,1865
