url,language,language_confidence,pagerank_rank,authority_rank,closeness_centrality_rank,degree_rank,in_degree_rank,out_degree_rank,best_rank,rank_sum
twitter.com/LightspeedGMI,English,1.0,2,2,22,4,2,20,2,52
lightspeedgmi.fr,French,1.0,6,8,25,7,5,26,5,77
lightspeedgmi.com.br,Portuguese,1.0,5,9,26,8,6,27,5,81
lightspeedgmi.cn,Chinese,1.0,7,7,30,9,7,28,7,88
lightspeedgmi.kr,Korean,1.0,8,6,32,10,8,31,6,95
lightspeedgmi.mx,Spanish,1.0,9,5,28,12,9,33,5,96
lightspeedgmi.de,German,1.0,10,10,27,17,10,29,10,103
lightspeedgmi.jp,Japanese,1.0,11,11,31,19,11,30,11,113
lightspeedfsg.com,Latin,1.0,1,1,58,11,1,49,1,121
lightspeedgmi.com,English,1.0,13,16,40,35,14,56,13,174
lightspeedgmi.com/resource-center/events,English,1.0,27,18,33,36,26,37,18,177
blog.lightspeedgmi.com,English,1.0,24,15,37,47,27,50,15,200
lightspeedgmi.com/resource-center,English,1.0,20,13,41,45,21,62,13,202
aviasales.ru,Russian,1.0,22,148,5,6,13,11,5,205
lightspeedgmi.com/resource-center/demos,English,1.0,21,14,42,46,22,63,14,208
lightspeedgmi.com/resource-center/news-press-releases,English,1.0,26,17,43,51,28,64,17,229
lightspeedgmi.com/resource-center/news,English,1.0,61,22,29,33,72,23,22,240
lightspeedgmi.com/resource-center/newsletter,English,1.0,29,20,44,60,48,65,20,266
lightspeedgmi.com/about-us/charitable-giving?utm_content=25134149&utm_medium=social&utm_source=twitter,English,1.0,43,80,35,59,87,46,35,350
facebook.com/LightspeedGMI,English,1.0,3,3,161,31,3,161,3,362
lightspeedgmi.com/millennial-parents-really-want-holidays?utm_content=24468460&utm_medium=social&utm_source=twitter,English,1.0,40,77,38,67,89,53,38,364
linkedin.com/company/lightspeed-gmi,,,4,4,162,32,4,162,4,368
twitter.com/aviasales,Latin,1.0,155,129,13,27,25,21,13,370
lightspeedgmi.com/millennial-parents-really-want-holidays?utm_content=25134779&utm_medium=social&utm_source=twitter,English,1.0,49,86,39,68,90,54,39,386
jetradar.com/flights,English,1.0,51,126,109,34,12,79,12,411
lightspeedgmi.com/regions/ams?utm_content=25134049&utm_medium=social&utm_source=twitter,English,1.0,50,87,45,73,91,69,45,415
info.lightspeedgmi.com/healthcare?utm_campaign=Healthcare&utm_content=25414694&utm_medium=social&utm_source=twitter,English,1.0,44,81,47,78,92,73,44,415
advertise.bingads.microsoft.com/en-uk/blog/38690/top-bing-ads-finance-tips-to-get-ahead-in-2016?utm_content=25253004&utm_medium=social&utm_source=twitter,English,1.0,48,85,93,61,88,47,47,422
wpp.com/wpp/press/2015/dec/15/lightspeed-announces-executive-leadership-changes,English,1.0,36,73,67,90,94,84,36,444
top.mail.ru/Rating/Internet-Navigation/Today/Visitors/1.html?from=jumpfrom,Russian,1.0,110,215,1,26,85,18,1,455
twitter.com/LightspeedRsrch,Latin,1.0,16,12,163,89,20,168,12,468
odnoklassniki.ru/aviasales,Kyrgyz,1.0,224,147,68,13,37,8,8,497
top100.rambler.ru,Russian,1.0,19,216,64,69,23,106,19,497
lightspeedgrp.com,English,1.0,25,21,165,99,24,169,21,503
plus.google.com/+aviasalesru,Kyrgyz,1.0,218,141,14,44,43,45,14,505
